         1539948 function calls (1534962 primitive calls) in 20.755 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.13/functools.py:36(update_wrapper)
      101    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       49    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:754(BaseProxy)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_compiler.py:514(_compile_info)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/popen_fork.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
